symbol,timestamp,price,volume,bid,ask,kinesis_timestamp,sequence_number
AMZN,2025-12-26T15:12:29.642737,153.25,5286,153.24,153.27,2025-12-26 15:12:29.741000-06:00,49670264113246220113422590907301616631942438913983905794
JPM,2025-12-26T15:12:29.699854,134.92,2336,134.9,134.93,2025-12-26 15:12:29.799000-06:00,49670264113246220113422590907302825557762053543158611970
AAPL,2025-12-26T15:12:29.758733,131.44,9123,131.43,131.46,2025-12-26 15:12:29.858000-06:00,49670264113246220113422590907305243409401282801508024322
GOOGL,2025-12-26T15:12:29.820846,142.05,6055,142.04,142.07,2025-12-26 15:12:29.915000-06:00,49670264113246220113422590907308870186860126689032142850
MSFT,2025-12-26T15:12:29.873625,364.02,2263,363.98,364.05,2025-12-26 15:12:29.969000-06:00,49670264113246220113422590907317332667597429093255086082
AMZN,2025-12-26T15:12:29.928492,153.09,5490,153.07,153.1,2025-12-26 15:12:30.024000-06:00,49670264113246220113422590907318541593417043722429792258
JPM,2025-12-26T15:12:29.983336,136.2,1316,136.19,136.22,2025-12-26 15:12:30.079000-06:00,49670264113246220113422590907322168370875887609953910786
AAPL,2025-12-26T15:12:30.039193,131.73,2375,131.71,131.74,2025-12-26 15:12:30.139000-06:00,49670264113246220113422590907324586222515116868303323138
GOOGL,2025-12-26T15:12:30.102179,142.77,7152,142.76,142.79,2025-12-26 15:12:30.200000-06:00,49670264113246220113422590907327004074154346126652735490
MSFT,2025-12-26T15:12:30.158931,362.83,9978,362.79,362.86,2025-12-26 15:12:30.257000-06:00,49670264113246220113422590907337884406530877789225091074
AMZN,2025-12-26T15:12:30.217181,152.08,3002,152.07,152.1,2025-12-26 15:12:30.316000-06:00,49670264113246220113422590907346346887268180193448034306
JPM,2025-12-26T15:12:30.277929,136.59,9875,136.57,136.6,2025-12-26 15:12:30.376000-06:00,49670264113246220113422590907348764738907409451797446658
AAPL,2025-12-26T15:12:30.335760,132.38,4237,132.36,132.39,2025-12-26 15:12:30.432000-06:00,49670264113246220113422590907349973664727024080972152834
GOOGL,2025-12-26T15:12:30.395761,142.4,7600,142.39,142.41,2025-12-26 15:12:30.500000-06:00,49670264113246220113422590907352391516366253339321565186
MSFT,2025-12-26T15:12:30.458644,361.36,4483,361.32,361.39,2025-12-26 15:12:30.554000-06:00,49670264113246220113422590907354809368005482666390454274
AMZN,2025-12-26T15:12:30.513735,150.57,4566,150.56,150.59,2025-12-26 15:12:30.610000-06:00,49670264113246220113422590907357227219644711924739866626
JPM,2025-12-26T15:12:30.569465,137.03,5708,137.02,137.04,2025-12-26 15:12:30.664000-06:00,49670264113246220113422590907358436145464326553914572802
AAPL,2025-12-26T15:12:30.623585,132.86,7868,132.85,132.87,2025-12-26 15:12:30.719000-06:00,49670264113246220113422590907363271848742785070613397506
GOOGL,2025-12-26T15:12:30.679340,142.13,2184,142.11,142.14,2025-12-26 15:12:30.777000-06:00,49670264113246220113422590907364480774562399699788103682
MSFT,2025-12-26T15:12:30.736188,360.12,8827,360.08,360.16,2025-12-26 15:12:30.832000-06:00,49670264113246220113422590907368107552021243587312222210
AMZN,2025-12-26T15:12:30.792176,150.63,5018,150.62,150.65,2025-12-26 15:12:30.886000-06:00,49670264113246220113422590907383823587676233766583402498
JPM,2025-12-26T15:12:30.846058,137.52,7650,137.51,137.53,2025-12-26 15:12:30.948000-06:00,49670264113246220113422590907386241439315463024932814850
AAPL,2025-12-26T15:12:30.908059,132.37,5548,132.36,132.38,2025-12-26 15:12:31.004000-06:00,49670264113246220113422590907388659290954692283282227202
GOOGL,2025-12-26T15:12:30.962924,143.21,1931,143.2,143.23,2025-12-26 15:12:31.059000-06:00,49670264113246220113422590907389868216774306912456933378
MSFT,2025-12-26T15:12:31.018053,359.06,6636,359.03,359.1,2025-12-26 15:12:31.116000-06:00,49670264113246220113422590907393494994233150799981051906
AMZN,2025-12-26T15:12:31.076633,151.68,6237,151.67,151.7,2025-12-26 15:12:31.175000-06:00,49670264113246220113422590907399539623331223945854582786
JPM,2025-12-26T15:12:31.135402,137.14,1988,137.13,137.15,2025-12-26 15:12:31.230000-06:00,49670264113246220113422590907404375326609682462553407490
AAPL,2025-12-26T15:12:31.189398,131.07,4017,131.06,131.08,2025-12-26 15:12:31.287000-06:00,49670264113246220113422590907406793178248911720902819842
GOOGL,2025-12-26T15:12:31.247050,142.62,1597,142.61,142.64,2025-12-26 15:12:31.344000-06:00,49670264113246220113422590907408002104068526350077526018
MSFT,2025-12-26T15:12:31.303047,357.4,9682,357.36,357.43,2025-12-26 15:12:31.401000-06:00,49670264113246220113422590907414046733166599495951056898
AMZN,2025-12-26T15:12:31.360786,150.61,6929,150.6,150.63,2025-12-26 15:12:31.459000-06:00,49670264113246220113422590907415255658986214125125763074
JPM,2025-12-26T15:12:31.418911,137.86,3265,137.84,137.87,2025-12-26 15:12:31.515000-06:00,49670264113246220113422590907420091362264672710544064514
AAPL,2025-12-26T15:12:31.474474,131.74,7356,131.73,131.75,2025-12-26 15:12:31.570000-06:00,49670264113246220113422590907424927065543131227242889218
GOOGL,2025-12-26T15:12:31.529344,143.87,4874,143.86,143.89,2025-12-26 15:12:31.636000-06:00,49670264113246220113422590907427344917182360485592301570
MSFT,2025-12-26T15:12:31.595364,355.22,4049,355.19,355.26,2025-12-26 15:12:31.690000-06:00,49670264113246220113422590907434598472100048260640538626
AMZN,2025-12-26T15:12:31.649577,150.47,3751,150.46,150.49,2025-12-26 15:12:31.750000-06:00,49670264113246220113422590907441852027017736035688775682
JPM,2025-12-26T15:12:31.709553,137.18,4873,137.17,137.19,2025-12-26 15:12:31.807000-06:00,49670264113246220113422590907446687730296194552387600386
AAPL,2025-12-26T15:12:31.765414,130.5,3679,130.49,130.51,2025-12-26 15:12:31.862000-06:00,49670264113246220113422590907450314507755038439911718914
GOOGL,2025-12-26T15:12:31.819519,143.55,4398,143.54,143.56,2025-12-26 15:12:31.922000-06:00,49670264113246220113422590907452732359394267698261131266
MSFT,2025-12-26T15:12:31.882258,353.11,8221,353.07,353.14,2025-12-26 15:12:31.979000-06:00,49670264113246220113422590907462403765951184731658780674
AMZN,2025-12-26T15:12:31.938484,150.17,6159,150.16,150.19,2025-12-26 15:12:32.039000-06:00,49670264113246220113422590907467239469229643248357605378
JPM,2025-12-26T15:12:31.999460,136.7,6958,136.68,136.71,2025-12-26 15:12:32.096000-06:00,49670264113246220113422590907468448395049257877532311554
AAPL,2025-12-26T15:12:32.055317,131.48,1370,131.47,131.49,2025-12-26 15:12:32.151000-06:00,49670264113246220113422590907473284098327716394231136258
GOOGL,2025-12-26T15:12:32.111431,144.05,9723,144.03,144.06,2025-12-26 15:12:32.209000-06:00,49670264113246220113422590907475701949966945652580548610
MSFT,2025-12-26T15:12:32.170876,355.25,5422,355.22,355.29,2025-12-26 15:12:32.263000-06:00,49670264113246220113422590907480537653245404169279373314
AMZN,2025-12-26T15:12:32.222013,151.06,7678,151.04,151.07,2025-12-26 15:12:32.340000-06:00,49670264113246220113422590907491417985621935831851728898
JPM,2025-12-26T15:12:32.298630,137.55,7146,137.53,137.56,2025-12-26 15:12:32.394000-06:00,49670264113246220113422590907495044763080779719375847426
AAPL,2025-12-26T15:12:32.352876,130.47,6535,130.46,130.48,2025-12-26 15:12:32.457000-06:00,49670264113246220113422590907497462614720008977725259778
GOOGL,2025-12-26T15:12:32.416943,144.88,8818,144.87,144.9,2025-12-26 15:12:32.514000-06:00,49670264113246220113422590907498671540539623606899965954
MSFT,2025-12-26T15:12:32.474592,354.79,1084,354.76,354.83,2025-12-26 15:12:32.572000-06:00,49670264113246220113422590907502298317998467494424084482
AMZN,2025-12-26T15:12:32.530695,150.53,5842,150.51,150.54,2025-12-26 15:12:32.627000-06:00,49670264113246220113422590907504716169637696752773496834
JPM,2025-12-26T15:12:32.586746,138.7,7706,138.68,138.71,2025-12-26 15:12:32.686000-06:00,49670264113246220113422590907508342947096540640297615362
AAPL,2025-12-26T15:12:32.645920,131.1,7585,131.09,131.11,2025-12-26 15:12:32.745000-06:00,49670264113246220113422590907510760798735769898647027714
GOOGL,2025-12-26T15:12:32.702937,144.65,9727,144.63,144.66,2025-12-26 15:12:32.797000-06:00,49670264113246220113422590907511969724555384527821733890
MSFT,2025-12-26T15:12:32.756516,355.82,7292,355.79,355.86,2025-12-26 15:12:32.856000-06:00,49670264113246220113422590907513178650374999156996440066
AMZN,2025-12-26T15:12:32.815624,150.91,7518,150.9,150.93,2025-12-26 15:12:32.915000-06:00,49670264113246220113422590907522850056931916190394089474
JPM,2025-12-26T15:12:32.877656,139.44,6012,139.42,139.45,2025-12-26 15:12:32.990000-06:00,49670264113246220113422590907524058982751530957007749122
AAPL,2025-12-26T15:12:32.948209,132.07,9307,132.06,132.09,2025-12-26 15:12:33.045000-06:00,49670264113246220113422590907525267908571145586182455298
GOOGL,2025-12-26T15:12:33.004218,145.76,2861,145.75,145.78,2025-12-26 15:12:33.100000-06:00,49670264113246220113422590907528894686029989473706573826
MSFT,2025-12-26T15:12:33.059018,353.27,6902,353.24,353.31,2025-12-26 15:12:33.157000-06:00,49670264113246220113422590907531312537669218732055986178
AMZN,2025-12-26T15:12:33.116899,150.01,5156,150.0,150.03,2025-12-26 15:12:33.213000-06:00,49670264113246220113422590907533730389308447990405398530
JPM,2025-12-26T15:12:33.173469,140.32,8036,140.3,140.33,2025-12-26 15:12:33.271000-06:00,49670264113246220113422590907547028573324208911327166466
AAPL,2025-12-26T15:12:33.230110,132.47,1938,132.46,132.48,2025-12-26 15:12:33.327000-06:00,49670264113246220113422590907551864276602667428025991170
GOOGL,2025-12-26T15:12:33.287830,144.36,9618,144.35,144.38,2025-12-26 15:12:33.386000-06:00,49670264113246220113422590907556699979881125944724815874
MSFT,2025-12-26T15:12:33.345486,351.76,6193,351.73,351.8,2025-12-26 15:12:33.441000-06:00,49670264113246220113422590907560326757339969832248934402
AMZN,2025-12-26T15:12:33.400384,148.91,9562,148.89,148.92,2025-12-26 15:12:33.536000-06:00,49670264113246220113422590907565162460618428348947759106
JPM,2025-12-26T15:12:33.501376,140.76,5453,140.75,140.78,2025-12-26 15:12:33.598000-06:00,49670264113246220113422590907566371386438042978122465282
AAPL,2025-12-26T15:12:33.558880,132.77,3571,132.75,132.78,2025-12-26 15:12:33.660000-06:00,49670264113246220113422590907568789238077272236471877634
GOOGL,2025-12-26T15:12:33.626033,144.52,5886,144.51,144.54,2025-12-26 15:12:33.722000-06:00,49670264113246220113422590907569998163896886865646583810
MSFT,2025-12-26T15:12:33.681026,348.71,2040,348.68,348.74,2025-12-26 15:12:33.778000-06:00,49670264113246220113422590907572416015536116123995996162
AMZN,2025-12-26T15:12:33.737908,147.49,3966,147.47,147.5,2025-12-26 15:12:33.835000-06:00,49670264113246220113422590907577251718814574640694820866
JPM,2025-12-26T15:12:33.793904,140.5,4081,140.49,140.52,2025-12-26 15:12:33.899000-06:00,49670264113246220113422590907578460644634189269869527042
AAPL,2025-12-26T15:12:33.859600,133.04,4216,133.03,133.06,2025-12-26 15:12:33.958000-06:00,49670264113246220113422590907584505273732262484462534658
GOOGL,2025-12-26T15:12:33.918566,144.97,9453,144.96,144.98,2025-12-26 15:12:34.016000-06:00,49670264113246220113422590907585714199551877113637240834
MSFT,2025-12-26T15:12:33.976040,350.68,1858,350.64,350.71,2025-12-26 15:12:34.076000-06:00,49670264113246220113422590907589340977010721001161359362
AMZN,2025-12-26T15:12:34.034612,146.51,8733,146.49,146.52,2025-12-26 15:12:34.131000-06:00,49670264113246220113422590907591758828649950259510771714
JPM,2025-12-26T15:12:34.090608,141.63,1506,141.62,141.65,2025-12-26 15:12:34.192000-06:00,49670264113246220113422590907594176680289179517860184066
AAPL,2025-12-26T15:12:34.150114,132.01,6830,132.0,132.02,2025-12-26 15:12:34.249000-06:00,49670264113246220113422590907595385606108794147034890242
GOOGL,2025-12-26T15:12:34.208119,145.9,9957,145.88,145.91,2025-12-26 15:12:34.303000-06:00,49670264113246220113422590907596594531928408776209596418
MSFT,2025-12-26T15:12:34.263058,349.13,2572,349.09,349.16,2025-12-26 15:12:34.359000-06:00,49670264113246220113422590907597803457748023405384302594
AMZN,2025-12-26T15:12:34.318651,146.39,4093,146.38,146.41,2025-12-26 15:12:34.413000-06:00,49670264113246220113422590907599012383567638034559008770
JPM,2025-12-26T15:12:34.371483,141.56,6738,141.54,141.57,2025-12-26 15:12:34.468000-06:00,49670264113246220113422590907600221309387252663733714946
AAPL,2025-12-26T15:12:34.427527,132.7,6735,132.69,132.71,2025-12-26 15:12:34.525000-06:00,49670264113246220113422590907602639161026481922083127298
GOOGL,2025-12-26T15:12:34.484185,146.61,6447,146.6,146.63,2025-12-26 15:12:34.580000-06:00,49670264113246220113422590907607474864304940438781952002
MSFT,2025-12-26T15:12:34.539066,351.85,3856,351.81,351.88,2025-12-26 15:12:34.635000-06:00,49670264113246220113422590907609892715944169697131364354
AMZN,2025-12-26T15:12:34.593950,146.86,2538,146.85,146.87,2025-12-26 15:12:34.693000-06:00,49670264113246220113422590907613519493403013584655482882
JPM,2025-12-26T15:12:34.651957,140.92,3718,140.91,140.94,2025-12-26 15:12:34.747000-06:00,49670264113246220113422590907614728419222628213830189058
AAPL,2025-12-26T15:12:34.708951,132.87,3157,132.86,132.88,2025-12-26 15:12:34.809000-06:00,49670264113246220113422590907615937345042242843004895234
GOOGL,2025-12-26T15:12:34.768058,145.69,3098,145.67,145.7,2025-12-26 15:12:34.864000-06:00,49670264113246220113422590907618355196681472101354307586
MSFT,2025-12-26T15:12:34.823354,354.17,7402,354.14,354.21,2025-12-26 15:12:34.919000-06:00,49670264113246220113422590907620773048320701359703719938
AMZN,2025-12-26T15:12:34.877834,146.69,6203,146.68,146.71,2025-12-26 15:12:34.971000-06:00,49670264113246220113422590907638906935614920797324312578
JPM,2025-12-26T15:12:34.930846,140.1,1120,140.09,140.12,2025-12-26 15:12:35.033000-06:00,49670264113246220113422590907641324787254150055673724930
AAPL,2025-12-26T15:12:34.992436,133.02,9844,133.01,133.03,2025-12-26 15:12:35.097000-06:00,49670264113246220113422590907642533713073764684848431106
GOOGL,2025-12-26T15:12:35.056229,145.04,6994,145.02,145.05,2025-12-26 15:12:35.153000-06:00,49670264113246220113422590907649787267991452459896668162
MSFT,2025-12-26T15:12:35.113093,352.27,5856,352.24,352.31,2025-12-26 15:12:35.210000-06:00,49670264113246220113422590907652205119630681718246080514
AMZN,2025-12-26T15:12:35.169944,147.38,9810,147.36,147.39,2025-12-26 15:12:35.268000-06:00,49670264113246220113422590907653414045450296347420786690
JPM,2025-12-26T15:12:35.226936,138.92,7503,138.91,138.94,2025-12-26 15:12:35.325000-06:00,49670264113246220113422590907654622971269910976595492866
AAPL,2025-12-26T15:12:35.283809,131.92,8065,131.9,131.93,2025-12-26 15:12:35.381000-06:00,49670264113246220113422590907655831897089525605770199042
GOOGL,2025-12-26T15:12:35.339644,144.76,2219,144.75,144.78,2025-12-26 15:12:35.436000-06:00,49670264113246220113422590907657040822909140303664381954
MSFT,2025-12-26T15:12:35.394538,353.4,2563,353.36,353.43,2025-12-26 15:12:35.487000-06:00,49670264113246220113422590907660667600367984191188500482
AMZN,2025-12-26T15:12:35.446449,147.52,2013,147.51,147.54,2025-12-26 15:12:35.541000-06:00,49670264113246220113422590907663085452007213449537912834
JPM,2025-12-26T15:12:35.500609,137.61,1790,137.6,137.62,2025-12-26 15:12:35.599000-06:00,49670264113246220113422590907665503303646442707887325186
AAPL,2025-12-26T15:12:35.559549,131.15,5127,131.14,131.16,2025-12-26 15:12:35.660000-06:00,49670264113246220113422590907667921155285671966236737538
GOOGL,2025-12-26T15:12:35.619099,143.73,8065,143.71,143.74,2025-12-26 15:12:35.714000-06:00,49670264113246220113422590907671547932744515853760856066
MSFT,2025-12-26T15:12:35.671920,353.13,6514,353.09,353.16,2025-12-26 15:12:35.768000-06:00,49670264113246220113422590907672756858564130482935562242
AMZN,2025-12-26T15:12:35.726985,147.12,8146,147.1,147.13,2025-12-26 15:12:35.826000-06:00,49670264113246220113422590907680010413481818257983799298
JPM,2025-12-26T15:12:35.785681,137.66,3880,137.64,137.67,2025-12-26 15:12:35.883000-06:00,49670264113246220113422590907682428265121047516333211650
AAPL,2025-12-26T15:12:35.873902,131.73,9656,131.72,131.74,2025-12-26 15:12:35.968000-06:00,49670264113246220113422590907683637190940662145507917826
GOOGL,2025-12-26T15:12:35.926938,144.7,2587,144.69,144.72,2025-12-26 15:12:36.026000-06:00,49670264113246220113422590907686055042579891403857330178
MSFT,2025-12-26T15:12:35.984606,352.22,1433,352.18,352.25,2025-12-26 15:12:36.084000-06:00,49670264113246220113422590907688472894219120662206742530
AMZN,2025-12-26T15:12:36.043503,145.9,3384,145.89,145.91,2025-12-26 15:12:36.141000-06:00,49670264113246220113422590907689681820038735291381448706
JPM,2025-12-26T15:12:36.099457,138.24,7131,138.23,138.26,2025-12-26 15:12:36.199000-06:00,49670264113246220113422590907690890745858349920556154882
AAPL,2025-12-26T15:12:36.157346,130.56,9380,130.55,130.58,2025-12-26 15:12:36.255000-06:00,49670264113246220113422590907698144300776037695604391938
GOOGL,2025-12-26T15:12:36.213359,145.54,5765,145.52,145.55,2025-12-26 15:12:36.311000-06:00,49670264113246220113422590907699353226595652324779098114
MSFT,2025-12-26T15:12:36.270117,352.81,1750,352.77,352.84,2025-12-26 15:12:36.367000-06:00,49670264113246220113422590907700562152415266953953804290
AMZN,2025-12-26T15:12:36.326100,144.47,8475,144.45,144.48,2025-12-26 15:12:36.423000-06:00,49670264113246220113422590907702980004054496349742170114
JPM,2025-12-26T15:12:36.382109,137.1,7643,137.09,137.12,2025-12-26 15:12:36.479000-06:00,49670264113246220113422590907704188929874110978916876290
AAPL,2025-12-26T15:12:36.438136,129.36,3026,129.35,129.37,2025-12-26 15:12:36.538000-06:00,49670264113246220113422590907705397855693725608091582466
GOOGL,2025-12-26T15:12:36.496427,146.98,3192,146.97,147.0,2025-12-26 15:12:36.592000-06:00,49670264113246220113422590907706606781513340237266288642
MSFT,2025-12-26T15:12:36.551271,353.31,3174,353.28,353.35,2025-12-26 15:12:36.651000-06:00,49670264113246220113422590907707815707332954866440994818
AMZN,2025-12-26T15:12:36.610414,145.23,7541,145.22,145.25,2025-12-26 15:12:36.706000-06:00,49670264113246220113422590907709024633152569495615700994
JPM,2025-12-26T15:12:36.665061,137.83,1480,137.81,137.84,2025-12-26 15:12:36.764000-06:00,49670264113246220113422590907711442484791798753965113346
AAPL,2025-12-26T15:12:36.725384,129.76,4453,129.74,129.77,2025-12-26 15:12:36.820000-06:00,49670264113246220113422590907716278188070257270663938050
GOOGL,2025-12-26T15:12:36.780439,147.19,6303,147.18,147.21,2025-12-26 15:12:36.878000-06:00,49670264113246220113422590907719904965529101158188056578
MSFT,2025-12-26T15:12:36.837700,350.82,9207,350.78,350.85,2025-12-26 15:12:36.934000-06:00,49670264113246220113422590907721113891348715787362762754
AMZN,2025-12-26T15:12:36.893732,145.09,4174,145.08,145.1,2025-12-26 15:12:36.992000-06:00,49670264113246220113422590907722322817168330416537468930
JPM,2025-12-26T15:12:36.951434,137.97,4990,137.95,137.98,2025-12-26 15:12:37.044000-06:00,49670264113246220113422590907724740668807559674886881282
AAPL,2025-12-26T15:12:37.003337,130.03,4142,130.01,130.04,2025-12-26 15:12:37.099000-06:00,49670264113246220113422590907725949594627174304061587458
GOOGL,2025-12-26T15:12:37.059017,145.86,7087,145.85,145.88,2025-12-26 15:12:37.157000-06:00,49670264113246220113422590907727158520446788933236293634
MSFT,2025-12-26T15:12:37.117017,352.04,5934,352.01,352.08,2025-12-26 15:12:37.214000-06:00,49670264113246220113422590907735621001184091337459236866
AMZN,2025-12-26T15:12:37.175585,146.22,5594,146.21,146.24,2025-12-26 15:12:37.272000-06:00,49670264113246220113422590907736829927003705966633943042
JPM,2025-12-26T15:12:37.230696,137.09,7731,137.08,137.1,2025-12-26 15:12:37.328000-06:00,49670264113246220113422590907753754888478310775079829506
AAPL,2025-12-26T15:12:37.288775,129.92,9102,129.91,129.93,2025-12-26 15:12:37.386000-06:00,49670264113246220113422590907762217369215613179302772738
GOOGL,2025-12-26T15:12:37.344397,144.61,5609,144.59,144.62,2025-12-26 15:12:37.446000-06:00,49670264113246220113422590907767053072494071696001597442
MSFT,2025-12-26T15:12:37.406068,351.39,9720,351.36,351.43,2025-12-26 15:12:37.503000-06:00,49670264113246220113422590907771888775772530212700422146
AMZN,2025-12-26T15:12:37.463350,145.07,2230,145.05,145.08,2025-12-26 15:12:37.560000-06:00,49670264113246220113422590907775515553231374100224540674
JPM,2025-12-26T15:12:37.521141,136.82,4574,136.8,136.83,2025-12-26 15:12:37.623000-06:00,49670264113246220113422590907776724479050988729399246850
AAPL,2025-12-26T15:12:37.582450,128.79,6597,128.78,128.8,2025-12-26 15:12:37.681000-06:00,49670264113246220113422590907779142330690217987748659202
GOOGL,2025-12-26T15:12:37.641207,146.02,5297,146.0,146.03,2025-12-26 15:12:37.738000-06:00,49670264113246220113422590907780351256509832616923365378
MSFT,2025-12-26T15:12:37.698369,352.07,8798,352.03,352.1,2025-12-26 15:12:37.798000-06:00,49670264113246220113422590907782769108149061875272777730
AMZN,2025-12-26T15:12:37.757692,146.11,8528,146.09,146.12,2025-12-26 15:12:37.858000-06:00,49670264113246220113422590907783978033968676573166960642
JPM,2025-12-26T15:12:37.820506,136.4,4010,136.39,136.42,2025-12-26 15:12:37.916000-06:00,49670264113246220113422590907794858366345208235739316226
AAPL,2025-12-26T15:12:37.876136,128.88,9755,128.87,128.89,2025-12-26 15:12:37.973000-06:00,49670264113246220113422590907797276217984437494088728578
GOOGL,2025-12-26T15:12:37.931707,145.07,3590,145.06,145.09,2025-12-26 15:12:38.030000-06:00,49670264113246220113422590907800902995443281381612847106
MSFT,2025-12-26T15:12:37.990979,354.83,4042,354.79,354.86,2025-12-26 15:12:38.087000-06:00,49670264113246220113422590907803320847082510639962259458
AMZN,2025-12-26T15:12:38.048371,144.94,1951,144.92,144.95,2025-12-26 15:12:38.145000-06:00,49670264113246220113422590907806947624541354527486377986
JPM,2025-12-26T15:12:38.103697,136.14,6572,136.13,136.16,2025-12-26 15:12:38.198000-06:00,49670264113246220113422590907808156550360969156661084162
AAPL,2025-12-26T15:12:38.160027,128.05,6460,128.04,128.06,2025-12-26 15:12:38.278000-06:00,49670264113246220113422590907810574402000198415010496514
GOOGL,2025-12-26T15:12:38.243887,145.98,6972,145.97,146.0,2025-12-26 15:12:38.347000-06:00,49670264113246220113422590907811783327819813044185202690
MSFT,2025-12-26T15:12:38.306364,353.22,5571,353.19,353.26,2025-12-26 15:12:38.410000-06:00,49670264113246220113422590907816619031098271560884027394
AMZN,2025-12-26T15:12:38.369336,144.14,8800,144.13,144.16,2025-12-26 15:12:38.470000-06:00,49670264113246220113422590907819036882737500819233439746
JPM,2025-12-26T15:12:38.429446,135.51,2857,135.49,135.52,2025-12-26 15:12:38.527000-06:00,49670264113246220113422590907820245808557115448408145922
AAPL,2025-12-26T15:12:38.486144,128.06,2181,128.05,128.07,2025-12-26 15:12:38.582000-06:00,49670264113246220113422590907822663660196344706757558274
GOOGL,2025-12-26T15:12:38.541310,147.33,4662,147.32,147.35,2025-12-26 15:12:38.642000-06:00,49670264113246220113422590907831126140933647110980501506
MSFT,2025-12-26T15:12:38.602326,350.2,3100,350.16,350.23,2025-12-26 15:12:38.700000-06:00,49670264113246220113422590907832335066753261740155207682
AMZN,2025-12-26T15:12:38.659252,143.18,1920,143.17,143.2,2025-12-26 15:12:38.759000-06:00,49670264113246220113422590907844424324949408031902269442
JPM,2025-12-26T15:12:38.719136,136.85,4017,136.84,136.86,2025-12-26 15:12:38.813000-06:00,49670264113246220113422590907845633250769022661076975618
AAPL,2025-12-26T15:12:38.773063,127.52,5060,127.5,127.53,2025-12-26 15:12:38.870000-06:00,49670264113246220113422590907848051102408251919426387970
GOOGL,2025-12-26T15:12:38.830632,147.63,3543,147.62,147.65,2025-12-26 15:12:38.931000-06:00,49670264113246220113422590907861349286424012840348155906
MSFT,2025-12-26T15:12:38.891839,352.52,5605,352.48,352.56,2025-12-26 15:12:38.991000-06:00,49670264113246220113422590907864976063882856727872274434
AMZN,2025-12-26T15:12:38.950669,144.5,4624,144.48,144.51,2025-12-26 15:12:39.049000-06:00,49670264113246220113422590907868602841341700615396392962
JPM,2025-12-26T15:12:39.011368,137.16,2288,137.15,137.18,2025-12-26 15:12:39.110000-06:00,49670264113246220113422590907872229618800544502920511490
AAPL,2025-12-26T15:12:39.068750,128.28,8449,128.27,128.29,2025-12-26 15:12:39.170000-06:00,49670264113246220113422590907873438544620159132095217666
GOOGL,2025-12-26T15:12:39.127977,149.0,6608,148.98,149.01,2025-12-26 15:12:39.226000-06:00,49670264113246220113422590907877065322079003019619336194
MSFT,2025-12-26T15:12:39.184556,350.5,3442,350.47,350.54,2025-12-26 15:12:39.280000-06:00,49670264113246220113422590907878274247898617648794042370
AMZN,2025-12-26T15:12:39.238990,145.78,4225,145.77,145.8,2025-12-26 15:12:39.332000-06:00,49670264113246220113422590907879483173718232346688225282
JPM,2025-12-26T15:12:39.302462,135.93,4121,135.92,135.94,2025-12-26 15:12:39.403000-06:00,49670264113246220113422590907886736728635920121736462338
AAPL,2025-12-26T15:12:39.362244,127.67,9947,127.66,127.68,2025-12-26 15:12:39.457000-06:00,49670264113246220113422590907889154580275149380085874690
GOOGL,2025-12-26T15:12:39.415141,149.23,7606,149.22,149.25,2025-12-26 15:12:39.514000-06:00,49670264113246220113422590907895199209373222525959405570
MSFT,2025-12-26T15:12:39.474325,348.71,7102,348.68,348.75,2025-12-26 15:12:39.571000-06:00,49670264113246220113422590907896408135192837155134111746
